2026-07-18 07:00:17 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 25, 'broken': 0, 'correction': '101%'}
2026-07-18 07:00:26 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.043577, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.79}
2026-07-18 07:00:26 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 25, 'broken': 0, 'correction': '102%'}
2026-07-18 07:01:08 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'BANKUSDT'}
2026-07-18 07:01:08 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'BANKUSDT', 'total_levels': 1}
2026-07-18 07:04:18 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-18 07:04:56 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': '1000XECUSDT', 'level': 0.008234, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.52}
2026-07-18 07:04:56 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': '1000XECUSDT', 'level': 0.008234, 'close_below': 15}
2026-07-18 07:08:26 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BANKUSDT', 'level': 0.07193, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.1}
2026-07-18 07:08:26 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'BANKUSDT', 'total_levels': 1}
2026-07-18 07:10:56 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.00187965, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.94}
2026-07-18 07:10:57 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'AKEUSDT', 'level': 0.00187965, 'close_below': 12}
