2026-07-17 01:42:55 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:43:05 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.023306, 'event': 'zakol', 'fill_depth': 0.6693555307646095}
2026-07-17 01:43:10 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:43:26 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:43:41 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:43:56 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:44:11 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:44:26 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:44:41 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:44:56 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:45:12 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:45:17 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'DODOXUSDT'}
2026-07-17 01:45:17 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'DODOXUSDT', 'level': 0.022235, 'close_below': 25}
2026-07-17 01:45:27 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:45:31 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:45:42 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:45:57 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
